round,name,dates,event_type
R&G Official Test,06 - 07 Apr,Circuito de Navarra,Test
R&G Official Test,18 - 19 Apr,Donington Park,Test
R&G Official Test,23 - 24 Apr,Oulton Park,Test
Round 1,03 - 05 May,Oulton Park,Main Season
Round 2,16 - 18 May,Donington Park,Main Season
Round 3,20 - 22 Jun,Snetterton,Main Season
Round 4,04 - 06 Jul,Knockhill,Main Season
Round 5,25 - 27 Jul,Brands Hatch,Main Season
Round 6,08 - 10 Aug,Thruxton,Main Season
Round 7,23 - 25 Aug,Cadwell Park,Main Season
Round 8,05 - 07 Sep,Donington Park,Main Season
Round 9,19 - 21 Sep,Assen,Showdown
Round 10,03 - 05 Oct,Oulton Park,Showdown
Round 11,17 - 19 Oct,Brands Hatch,Showdown Finale
