country,round,circuit,date
THAILAND,GP1,Buriram International Circuit,28 Feb - 2 Mar
ARGENTINA,GP2,Termas de Río Hondo,14 Mar - 16 Mar
USA,GP3,Circuit Of The Americas,28 Mar - 30 Mar
QATAR,GP4,Lusail International Circuit,11 Apr - 13 Apr
SPAIN,GP5,Circuito de Jerez - Ángel Nieto,25 Apr - 27 Apr
FRANCE,GP6,Le Mans,9 May - 11 May
UNITED KINGDOM,GP7,Silverstone Circuit,23 May - 25 May
ARAGON,GP8,MotorLand Aragón,6 Jun - 8 Jun
ITALY,GP9,Autodromo Internazionale del Mugello,20 Jun - 22 Jun
NETHERLANDS,GP10,TT Circuit Assen,27 Jun - 29 Jun
GERMANY,GP11,Sachsenring,11 Jul - 13 Jul
CZECHIA,GP12,Automotodrom Brno,18 Jul - 20 Jul
AUSTRIA,GP13,Red Bull Ring - Spielberg,15 Aug - 17 Aug
HUNGARY,GP14,Balaton Park,22 Aug - 24 Aug
CATALONIA,GP15,Circuit de Barcelona-Catalunya,5 Sep - 7 Sep
SAN MARINO,GP16,Misano World Circuit Marco Simoncelli,12 Sep - 14 Sep
JAPAN,GP17,Mobility Resort Motegi,26 Sep - 28 Sep
INDONESIA,GP18,Pertamina Mandalika Circuit,3 Oct - 5 Oct
AUSTRALIA,GP19,Phillip Island,17 Oct - 19 Oct
MALAYSIA,GP20,Petronas Sepang International Circuit,24 Oct - 26 Oct
PORTUGAL,GP21,Autódromo Internacional do Algarve,7 Nov - 9 Nov
VALENCIA,GP22,Circuit Ricardo Tormo,14 Nov - 16 Nov
BARCELONA MOTOGP TEST,Test,Circuit de Barcelona-Catalunya,19 Nov -  
SHAKEDOWN MOTOGP TEST,Test,Petronas Sepang International Circuit,31 Jan - 2 Feb
MALAYSIA MOTOGP TEST,Test,Petronas Sepang International Circuit,5 Feb - 7 Feb
THAILAND MOTOGP TEST,Test,Buriram International Circuit,12 Feb - 13 Feb
SPAIN MOTO2 & MOTO3 TEST,Test,Circuito de Jerez - Ángel Nieto,18 Feb - 20 Feb
THAILAND,GP1,Buriram International Circuit,28 Feb - 2 Mar
ARGENTINA,GP2,Termas de Río Hondo,14 Mar - 16 Mar
USA,GP3,Circuit Of The Americas,28 Mar - 30 Mar
QATAR,GP4,Lusail International Circuit,11 Apr - 13 Apr
SPAIN,GP5,Circuito de Jerez - Ángel Nieto,25 Apr - 27 Apr
SPAIN MOTOGP TEST,Test,Circuito de Jerez - Ángel Nieto,28 Apr -  
FRANCE,GP6,Le Mans,9 May - 11 May
FRANCE MOTO3 TEST,Test,Le Mans,12 May -  
FRANCE MOTO2 TEST,Test,Le Mans,13 May -  
UNITED KINGDOM,GP7,Silverstone Circuit,23 May - 25 May
ARAGON,GP8,MotorLand Aragón,6 Jun - 8 Jun
ARAGON MOTOGP TEST,Test,MotorLand Aragón,9 Jun -  
ITALY,GP9,Autodromo Internazionale del Mugello,20 Jun - 22 Jun
NETHERLANDS,GP10,TT Circuit Assen,27 Jun - 29 Jun
GERMANY,GP11,Sachsenring,11 Jul - 13 Jul
CZECHIA,GP12,Automotodrom Brno,18 Jul - 20 Jul
CZECHIA MOTO2 TEST,Test,Automotodrom Brno,21 Jul -  
CZECHIA MOTO3 TEST,Test,Automotodrom Brno,22 Jul -  
AUSTRIA,GP13,Red Bull Ring - Spielberg,15 Aug - 17 Aug
HUNGARY,GP14,Balaton Park,22 Aug - 24 Aug
CATALONIA,GP15,Circuit de Barcelona-Catalunya,5 Sep - 7 Sep
SAN MARINO,GP16,Misano World Circuit Marco Simoncelli,12 Sep - 14 Sep
SAN MARINO MOTOGP TEST,Test,Misano World Circuit Marco Simoncelli,15 Sep -  
JAPAN,GP17,Mobility Resort Motegi,26 Sep - 28 Sep
INDONESIA,GP18,Pertamina Mandalika Circuit,3 Oct - 5 Oct
AUSTRALIA,GP19,Phillip Island,17 Oct - 19 Oct
MALAYSIA,GP20,Petronas Sepang International Circuit,24 Oct - 26 Oct
PORTUGAL,GP21,Autódromo Internacional do Algarve,7 Nov - 9 Nov
VALENCIA,GP22,Circuit Ricardo Tormo,14 Nov - 16 Nov
